Id,Nombres,Apellidos,Título,Institución,INST,Origen,País,Eje,Sitio,Ponencia,Presentó,Evaluar,Revisa,Calificativo,Puntaje,Resultado
1,Renzo Sebastian,Huerta Jimenez,MODELADO DE LA CONCENTRACIÓN DE YESO EN SUELOS SALINOS DEL PERÚ MEDIANTE ECUACIONES DE PEDOTRANSFERENCIA,Universidad Nacional Agraria La Molina,UNALM,Lima,Perú,E1,D18_A-TM,NO,SI,SI,NRC,50,0.75,15
2,Christ Jesús,Barriga Paria,METEORIZACIÓN DE SUELOS MINEROS EN LA SIERRA PERUANA Y SU IMPACTO EN EL COMPORTAMIENTO FÍSICO Y MECÁNICO PARA EL CIERRE DE MINAS,Universidad Nacional de Moquegua,UNAM,Moquegua,Perú,E1,D18_A-TM,NO,SI,SI,NRC,60,0.8,13
3,Yessica Karen,Ticona Miranda,TIPOLOGÍA Y NIVELES DE CONCENTRACIÓN DE RESIDUOS DE PESTICIDAS EN SUELOS AGRÍCOLAS DE LOS VALLES DE MOQUEGUA,Universidad Nacional de Moquegua,UNAM,Moquegua,Perú,E1,D18_A-TM,NO,SI,SI,NRC,70,0.6,19
4,Luis Michael,Dulong Alcantara,"FIBRA DE COCO, UN RECURSO RENOVABLE Y SOSTENIBLE EN LA PRODUCCIÓN DE PLANTAS DE ARÁNDANO PARA UNA AGRICULTURA INTENSIVA",Camposol S.A.,Camposol,La Libertad,Perú,E1,D18_B-TM,NO,SI,SI,OSS,80,0.75,15
5,Diego Armando,Fernandez Ibarra,¿CÓMO VARÍA LA INFILTRACIÓN DE AGUA EN EL SUELO ENTRE USOS DE SUELO EN UN RELIEVE MONTAÑOSO ANDINO DE PERÚ?,Universidade de São Paulo,USP,Piracicaba,Brasil,E1,D18_B-TM,NO,SI,SI,OSS,90,0.85,11
6,Francisco Nemecio,Castillo Vergara,"CARACTERIZACIÓN FISICOQUÍMICA DEL SUELO DE LAS ÁREAS DE RETROCESO GLACIAR ENTRE 1970-2024 EN LA QUEBRADA LLACA, CORDILLERA BLANCA-PERÚ","Centro de Investigación en Ciencias de la Tierra, Ambiente y Tecnología",UNASAM,Huaraz,Perú,E1,D18_B-TM,NO,SI,SI,OSS,50,0.45,21
7,Nilton Beltrán,Rojas Briceño,DESARROLLO Y VALIDACIÓN DE UN MÉTODO UHPLC-MS/MS PARA DETECTAR Y CUANTIFICAR RESIDUOS DE PESTICIDAS EN SUELOS AGRÍCOLAS PERUANOS,Universidad Nacional de Moquegua,UNAM,Moquegua,Perú,E1,D18_A-TM,NO,SI,SI,PLI,60,0.5,20
8,Nilton,Atalaya Marín,DISTRIBUCIÓN GEOESPACIAL DE METALES PESADOS EN SUELOS DE ARROZ DEL NOROESTE DEL PERÚ,Instituto Nacional de Innovación Agraria,INIA,Cajamarca,Perú,E1,D18_B-TM,SI,NO,NO,,,,
9,Karla,Montero Jara,IMPORTANCIA DE LAS PROPIEDADES FÍSICAS DEL SUELO PARA UNA GANADERÍA RESILIENTE AL CAMBIO CLIMÁTICO,"Instituto Tecnológico de Costa Rica, Universidad Nacional, Universidad Estatal a Distancia.",UNED,San José,Costa Rica,E1,D18_A-TM,NO,SI,SI,PLI,50,0.43,22
10,Demetrio Angelo,Lama Isminio,INFLUENCIA DEL MÉTODO PARA DETERMINAR LA CAPACIDAD DE INTERCAMBIO CATIÓNICO EN LA FERTILIDAD Y CLASIFICACIÓN TAXONÓMICA DEL SUELO,Universidad Nacional Toribio Rodríguez de Mendoza,UNTRM,Amazonas,Perú,E1,D18_B-TM,SI,NO,NO,,,,
11,Kenyi,Quispe,"DISTRIBUCIÓN ESPACIAL DEL CADMIO EN SUELOS CULTIVADOS CON PALTO: INFLUENCIA DEL MATERIAL PARENTAL, CATIONES INTERCAMBIABLES Y OLIGOELEMENTOS",Instituto Nacional de Innovación Agraria,INIA,Lima,Perú,E1,D18_B-TM,NO,SI,SI,OAH,50,0.46,
12,Franklin Hitler,Fernandez Zarate,"EFECTO DE SOMBRA EN LA DESCOMPOSICIÓN DE HOJARASCA: COMPACTACIÓN ENTRE SISTEMAS CAFETALEROS Y FORESTALES, CAJAMARCA - PERÚ",Instituto Nacional de Innovación Agraria,INIA,Cajamarca,Perú,E1,D18_B-TM,NO,SI,SI,OAH,50,0.42,
13,Elton Jhon,Rojas Ocupa,USO DE CULTIVOS INICIADORES EN FERMENTACIÓN DE CAFÉ Y EVALUACIÓN DE SU IMPACTO SOBRE LA CALIDAD SENSORIAL,Instituto Nacional de Innovación Agraria,INIA,Cajamarca,Perú,E1,D18_B-TM,NO,SI,SI,OAH,50,0.38,
